-LRB-	-LRB-
FMD	NN
-RRB-	-RRB-
.	.
This	DT
follows	VBZ
the	DT
3	CD
new	JJ
cases	NNS
on	IN
Thursday	NNP
,	,
and	CC
comes	VBZ
amid	IN
a	DT
cull	NN
of	IN
100	CD
000	CD
animals	NNS
designed	VBN
to	TO
prevent	VB
the	DT
spread	NN
of	IN
the	DT
disease	NN
.	.
In	IN
Germany	NNP
,	,
an	DT
alert	NN
was	VBD
sounded	VBN
after	IN
pigs	NNS
at	IN
Goch	NNP
,	,
near	IN
the	DT
Dutch	JJ
border	NN
,	,
showed	VBD
signs	NNS
of	IN
the	DT
illness	NN
.	.
Test	NN
results	NNS
are	VBP
due	JJ
on	IN
Saturday	NNP
.	.
The	DT
latest	JJS
Dutch	JJ
case	NN
was	VBD
discovered	VBN
in	IN
the	DT
eastern	JJ
province	NN
of	IN
Gelderland	NNP
,	,
where	WRB
the	DT
disease	NN
first	RB
struck	VBD
last	JJ
week	NN
,	,
and	CC
has	VBZ
been	VBN
linked	VBN
to	TO
animals	NNS
imported	VBN
via	IN
the	DT
French	JJ
department	NN
of	IN
Mayenne	NNP
.	.
The	DT
central	JJ
province	NN
of	IN
Veluwe	NNP
is	VBZ
the	DT
only	RB
other	JJ
region	NN
of	IN
the	DT
country	NN
affected	VBD
,	,
after	IN
a	DT
case	NN
not	RB
linked	VBN
to	TO
Mayenne	NNP
imports	NNS
was	VBD
discovered	VBN
in	IN
Kootwijkerbroek	NNP
on	IN
Thursday	NNP
.	.
Angry	NNP
farmers	NNS
there	RB
briefly	RB
held	VBN
hostage	NN
3	CD
workers	NNS
from	IN
the	DT
country	NN
's	POS
Meat	NN
and	CC
Animal	NNP
Inspection	NNP
Service	NNP
,	,
and	CC
erected	VBD
blockades	NNS
to	TO
protest	VB
against	IN
the	DT
preventive	JJ
slaughter	NN
of	IN
thousands	NNS
of	IN
healthy	JJ
livestock	NN
,	,
on	IN
Friday	NNP
.	.
The	DT
Dutch	JJ
Agriculture	NNP
Minister	NNP
,	,
Laurens-Jan	NNP
Brinkhorst	NNP
,	,
said	VBD
he	PRP
wanted	VBD
Europe	NNP
to	TO
revisit	VB
the	DT
idea	NN
of	IN
mass	NN
vaccination	NN
of	IN
livestock	NN
to	TO
avoid	VB
such	PDT
a	DT
slaughter	NN
in	IN
future	NN
.	.
He	PRP
said	VBD
,	,
``	``
I	PRP
believe	VBP
that	IN
increasingly	RB
,	,
at	IN
least	JJS
in	IN
this	DT
country	NN
,	,
there	EX
is	VBZ
growing	VBG
resistance	NN
to	TO
hundreds	NNS
of	IN
thousands	NNS
of	IN
animals	NNS
which	WDT
are	VBP
perfectly	RB
healthy	JJ
for	IN
human	JJ
consumption	NN
should	MD
be	VB
slaughtered	VBN
...	:
Many	JJ
people	NNS
do	VBP
not	RB
understand	VB
in	IN
this	DT
country	NN
why	WRB
one	CD
should	MD
slaughter	NN
massively	RB
if	IN
by	IN
simple	JJ
vaccination	NN
one	CD
could	MD
avoid	VB
the	DT
outbreak	NN
.	.
''	''
He	PRP
said	VBD
the	DT
Netherlands	NNP
would	MD
not	RB
take	VB
unilateral	JJ
action	NN
,	,
but	CC
that	IN
European	JJ
agriculture	NN
ministers	NNS
would	MD
return	VB
to	TO
the	DT
issue	NN
at	IN
a	DT
meeting	NN
in	IN
Sweden	NNP
next	JJ
week	NN
.	.
Until	IN
last	JJ
week	NN
,	,
Dutch	JJ
officials	NNS
had	VBD
believed	VBN
their	PRP$
early	JJ
crackdown	NN
on	IN
the	DT
movement	NN
of	IN
animals	NNS
,	,
coupled	VBN
with	IN
a	DT
vaccination	NN
program	NN
,	,
had	VBD
been	VBN
enough	RB
to	TO
protect	VB
the	DT
country	NN
from	IN
the	DT
spread	NN
of	IN
FMD	NN
.	.
The	DT
UK	NNP
has	VBZ
not	RB
yet	RB
begun	VBN
vaccination	NN
,	,
with	IN
the	DT
government	NN
continuing	VBG
to	TO
insist	VB
its	PRP$
mass	NN
burning	NN
of	IN
slaughtered	VBN
animals	NNS
is	VBZ
the	DT
answer	NN
.	.
The	DT
UK	NNP
's	POS
total	NN
has	VBZ
passed	VBN
770	CD
cases	NNS
and	CC
is	VBZ
still	RB
rising	VBG
daily	RB
.	.
In	IN
France	NNP
,	,
where	WRB
2	CD
cases	NNS
have	VBP
been	VBN
confirmed	VBN
,	,
an	DT
uneasy	JJ
waiting	NN
game	NN
is	VBZ
still	RB
going	VBG
on	IN
amid	IN
hopes	VBZ
the	DT
virus	NN
has	VBZ
been	VBN
stopped	VBN
in	RP
its	PRP$
tracks	NNS
.	.
The	DT
suspected	VBN
case	NN
in	IN
Germany	NNP
concerns	NNS
2	B-VIC
pigs	I-VIC
imported	VBN
from	IN
the	DT
Netherlands	NNP
before	IN
1	CD
Feb	NNP
2001	CD
.	.
